kota_kabupaten,kecamatan,kelurahan,jumlah_kepadatan_penduduk(jiwa/km2),jumlah_jiwa_terdampak_banjir
JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,8480,625
JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,50255,12421
JAKARTA PUSAT,MENTENG,PEGANGSAAN,29871,210
JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,16988,195
JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,15955,7756
JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,39507,140
JAKARTA UTARA,PENJARINGAN,PEJAGALAN,28256,1418
JAKARTA UTARA,PENJARINGAN,PLUIT,7469,120
JAKARTA UTARA,KOJA,TUGU SELATAN,18926,5346
JAKARTA UTARA,CILINCING,CILINCING,8846,1121
JAKARTA UTARA,CILINCING,SUKAPURA,12524,844
JAKARTA UTARA,CILINCING,MARUNDA,4738,417
JAKARTA UTARA,CILINCING,SEMPER TIMUR,14621,320
JAKARTA UTARA,CILINCING,ROROTAN,5074,1300
JAKARTA UTARA,CILINCING,SEMPER BARAT,55175,1222
JAKARTA UTARA,PADEMANGAN,ANCOL,7986,200
JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,7580,371
JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,9670,392
JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,22925,7722
JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,16642,2793
JAKARTA BARAT,CENGKARENG,RAWA BUAYA,19734,7775
JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,14587,2804
JAKARTA BARAT,CENGKARENG,KAPUK,30500,13503
JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,22669,362
JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,15429,85
JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,19218,3880
JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,32610,6420
JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,22044,4862
JAKARTA BARAT,KEBON JERUK,DURI KEPA,19114,130
JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,17927,1238
JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,17559,3050
JAKARTA BARAT,KALI DERES,KALIDERES,15893,147
JAKARTA BARAT,KALI DERES,SEMANAN,15151,2112
JAKARTA BARAT,KALI DERES,TEGAL ALUR,21348,1208
JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,46821,23641
JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,18749,1041
JAKARTA BARAT,KEMBANGAN,SRENGSENG,11594,15
JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,9265,710
JAKARTA SELATAN,TEBET,KEBON BARU,33918,2170
JAKARTA SELATAN,TEBET,BUKIT DURI,39465,4623
JAKARTA SELATAN,TEBET,MANGGARAI,37286,5274
JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,3687,325
JAKARTA SELATAN,SETIA BUDI,GUNTUR,7081,25
JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,3429,269
JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,29290,797
JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,8059,1041
JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,33022,6309
JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,38367,12880
JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,16228,816
JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,18692,781
JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,8989,440
JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,26991,1542
JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,24765,185
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,29686,700
JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,10115,1039
JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,25669,5290
JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,19109,915
JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,19666,621
JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,10444,300
JAKARTA SELATAN,CILANDAK,LEBAK BULUS,11120,101
JAKARTA SELATAN,CILANDAK,PONDOK LABU,14524,134
JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,14114,65
JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,8544,40
JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,14088,735
JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,9643,99
JAKARTA SELATAN,KEBAYORAN BARU,PULO,5352,16
JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,23141,4415
JAKARTA SELATAN,PANCORAN,PANCORAN,20037,4151
JAKARTA SELATAN,PANCORAN,KALIBATA,23003,3615
JAKARTA SELATAN,PANCORAN,RAWA JATI,17822,753
JAKARTA SELATAN,PANCORAN,DUREN TIGA,18024,345
JAKARTA SELATAN,PANCORAN,PENGADEGAN,27952,5096
JAKARTA SELATAN,PANCORAN,CIKOKO,18288,147
JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,15988,235
JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,10732,372
JAKARTA SELATAN,JAGAKARSA,CIGANJUR,14250,1350
JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,29647,5415
JAKARTA SELATAN,JAGAKARSA,CIPEDAK,12059,175
JAKARTA SELATAN,PESANGGRAHAN,BINTARO,14368,596
JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,22496,2711
JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,30105,321
JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,58044,6368
JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,25581,2106
JAKARTA TIMUR,PULO GADUNG,CIPINANG,31872,7251
JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,11419,10413
JAKARTA TIMUR,PULO GADUNG,JATI,18573,84
JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,67798,25154
JAKARTA TIMUR,JATINEGARA,BIDARA CINA,35849,14089
JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,30480,4560
JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,23850,2096
JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,27230,279
JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,28021,346
JAKARTA TIMUR,KRAMAT JATI,DUKUH,15736,1119
JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,23673,24
JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,21973,472
JAKARTA TIMUR,KRAMAT JATI,CILILITAN,28509,6672
JAKARTA TIMUR,KRAMAT JATI,CAWANG,22752,2072
JAKARTA TIMUR,PASAR REBO,GEDONG,16988,100
JAKARTA TIMUR,PASAR REBO,CIJANTUNG,21699,207
JAKARTA TIMUR,CAKUNG,JATINEGARA,16281,150
JAKARTA TIMUR,CAKUNG,RAWA TERATE,9549,2759
JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,7621,1495
JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,7497,70
JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,12184,948
JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,16654,2078
JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,15673,404
JAKARTA TIMUR,DUREN SAWIT,KLENDER,28954,470
JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,15634,2597
JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,38672,5602
JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,21604,220
JAKARTA TIMUR,MAKASAR,MAKASAR,26869,5195
JAKARTA TIMUR,MAKASAR,PINANG RANTI,14606,120
JAKARTA TIMUR,MAKASAR,KEBON PALA,25465,209
JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,2720,300
JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,20907,18330
JAKARTA TIMUR,CIRACAS,CIBUBUR,18297,120
JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,17390,335
JAKARTA TIMUR,CIRACAS,SUSUKAN,21999,3268
JAKARTA TIMUR,CIRACAS,RAMBUTAN,22237,7171
JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,10593,190
JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,8729,10
JAKARTA TIMUR,CIPAYUNG,SETU,7954,47
JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,10391,48
JAKARTA TIMUR,CIPAYUNG,CEGER,6539,80